2025-05-05 21:13:38.693 INFO [pid-2473] @run.py:34 Loading data...
323715it [00:13, 24217.46it/s]
10053it [00:00, 26846.56it/s]
1332it [00:00, 33491.27it/s]
2025-05-05 21:13:52.476 INFO [pid-2473] @run.py:40 Time usage: 0:00:14
2025-05-05 21:18:55.168 INFO [pid-2473] @train_eval.py:56 Iter:   5099,  Train Loss: 0.083,  Train Acc: 97.66%,  Val Loss: 0.085,  Val Acc: 96.88%,  Time: 0:05:02 *
2025-05-05 21:19:01.156 INFO [pid-2473] @train_eval.py:56 Iter:   5199,  Train Loss:   0.1,  Train Acc: 96.88%,  Val Loss: 0.085,  Val Acc: 96.89%,  Time: 0:05:08 *
2025-05-05 21:19:07.131 INFO [pid-2473] @train_eval.py:56 Iter:   5299,  Train Loss: 0.072,  Train Acc: 98.44%,  Val Loss:  0.09,  Val Acc: 96.59%,  Time: 0:05:14 
2025-05-05 21:19:12.922 INFO [pid-2473] @train_eval.py:56 Iter:   5399,  Train Loss:  0.04,  Train Acc: 98.44%,  Val Loss: 0.086,  Val Acc: 96.77%,  Time: 0:05:20 
2025-05-05 21:19:18.982 INFO [pid-2473] @train_eval.py:56 Iter:   5499,  Train Loss:  0.12,  Train Acc: 96.88%,  Val Loss: 0.087,  Val Acc: 96.73%,  Time: 0:05:26 
2025-05-05 21:19:25.086 INFO [pid-2473] @train_eval.py:56 Iter:   5599,  Train Loss: 0.088,  Train Acc: 97.66%,  Val Loss: 0.094,  Val Acc: 96.72%,  Time: 0:05:32 
2025-05-05 21:19:31.023 INFO [pid-2473] @train_eval.py:56 Iter:   5699,  Train Loss: 0.079,  Train Acc: 96.88%,  Val Loss:  0.09,  Val Acc: 96.74%,  Time: 0:05:38 
2025-05-05 21:19:36.371 INFO [pid-2473] @train_eval.py:56 Iter:   5799,  Train Loss:  0.14,  Train Acc: 96.09%,  Val Loss: 0.085,  Val Acc: 96.92%,  Time: 0:05:44 
2025-05-05 21:19:42.540 INFO [pid-2473] @train_eval.py:56 Iter:   5899,  Train Loss: 0.083,  Train Acc: 96.88%,  Val Loss: 0.084,  Val Acc: 96.91%,  Time: 0:05:50 *
2025-05-05 21:19:48.647 INFO [pid-2473] @train_eval.py:56 Iter:   5999,  Train Loss: 0.053,  Train Acc: 98.44%,  Val Loss: 0.085,  Val Acc: 96.78%,  Time: 0:05:56 
